meter_id,customer_id,customer_name,district,segment,installed_on
M-0001,C-0001,Synthetic site 001,Nord,Residential,2025-01-01
M-0002,C-0002,Synthetic site 002,Sud,Residential,2025-01-01
M-0003,C-0003,Synthetic site 003,Est,Residential,2025-01-01
M-0004,C-0004,Synthetic site 004,Centre,Residential,2025-01-01
M-0005,C-0005,Synthetic site 005,Nord,Commercial,2025-01-01
M-0006,C-0006,Synthetic site 006,Sud,Residential,2025-01-01
M-0007,C-0007,Synthetic site 007,Est,Residential,2025-01-01
M-0008,C-0008,Synthetic site 008,Centre,Residential,2025-01-01
M-0009,C-0009,Synthetic site 009,Nord,Residential,2025-01-01
M-0010,C-0010,Synthetic site 010,Sud,Commercial,2025-01-01
M-0011,C-0011,Synthetic site 011,Est,Residential,2025-01-01
M-0012,C-0012,Synthetic site 012,Centre,Residential,2025-01-01
M-0013,C-0013,Synthetic site 013,Nord,Residential,2025-01-01
M-0014,C-0014,Synthetic site 014,Sud,Residential,2025-01-01
M-0015,C-0015,Synthetic site 015,Est,Commercial,2025-01-01
M-0016,C-0016,Synthetic site 016,Centre,Residential,2025-01-01
M-0017,C-0017,Synthetic site 017,Nord,Residential,2025-01-01
M-0018,C-0018,Synthetic site 018,Sud,Residential,2025-01-01
M-0019,C-0019,Synthetic site 019,Est,Residential,2025-01-01
M-0020,C-0020,Synthetic site 020,Centre,Commercial,2025-01-01
M-0021,C-0021,Synthetic site 021,Nord,Residential,2025-01-01
M-0022,C-0022,Synthetic site 022,Sud,Residential,2025-01-01
M-0023,C-0023,Synthetic site 023,Est,Residential,2025-01-01
M-0024,C-0024,Synthetic site 024,Centre,Residential,2025-01-01
M-0025,C-0025,Synthetic site 025,Nord,Commercial,2025-01-01
M-0026,C-0026,Synthetic site 026,Sud,Residential,2025-01-01
M-0027,C-0027,Synthetic site 027,Est,Residential,2025-01-01
M-0028,C-0028,Synthetic site 028,Centre,Residential,2025-01-01
M-0029,C-0029,Synthetic site 029,Nord,Residential,2025-01-01
M-0030,C-0030,Synthetic site 030,Sud,Commercial,2025-01-01
M-0031,C-0031,Synthetic site 031,Est,Residential,2025-01-01
M-0032,C-0032,Synthetic site 032,Centre,Residential,2025-01-01
M-0033,C-0033,Synthetic site 033,Nord,Residential,2025-01-01
M-0034,C-0034,Synthetic site 034,Sud,Residential,2025-01-01
M-0035,C-0035,Synthetic site 035,Est,Commercial,2025-01-01
M-0036,C-0036,Synthetic site 036,Centre,Residential,2025-01-01
M-0037,C-0037,Synthetic site 037,Nord,Residential,2025-01-01
M-0038,C-0038,Synthetic site 038,Sud,Residential,2025-01-01
M-0039,C-0039,Synthetic site 039,Est,Residential,2025-01-01
M-0040,C-0040,Synthetic site 040,Centre,Commercial,2025-01-01
M-0041,C-0041,Synthetic site 041,Nord,Residential,2025-01-01
M-0042,C-0042,Synthetic site 042,Sud,Residential,2025-01-01
M-0043,C-0043,Synthetic site 043,Est,Residential,2025-01-01
M-0044,C-0044,Synthetic site 044,Centre,Residential,2025-01-01
M-0045,C-0045,Synthetic site 045,Nord,Commercial,2025-01-01
M-0046,C-0046,Synthetic site 046,Sud,Residential,2025-01-01
M-0047,C-0047,Synthetic site 047,Est,Residential,2025-01-01
M-0048,C-0048,Synthetic site 048,Centre,Residential,2025-01-01
M-0049,C-0049,Synthetic site 049,Nord,Residential,2025-01-01
M-0050,C-0050,Synthetic site 050,Sud,Commercial,2025-01-01
M-0051,C-0051,Synthetic site 051,Est,Residential,2025-01-01
M-0052,C-0052,Synthetic site 052,Centre,Residential,2025-01-01
M-0053,C-0053,Synthetic site 053,Nord,Residential,2025-01-01
M-0054,C-0054,Synthetic site 054,Sud,Residential,2025-01-01
M-0055,C-0055,Synthetic site 055,Est,Commercial,2025-01-01
M-0056,C-0056,Synthetic site 056,Centre,Residential,2025-01-01
M-0057,C-0057,Synthetic site 057,Nord,Residential,2025-01-01
M-0058,C-0058,Synthetic site 058,Sud,Residential,2025-01-01
M-0059,C-0059,Synthetic site 059,Est,Residential,2025-01-01
M-0060,C-0060,Synthetic site 060,Centre,Commercial,2025-01-01
M-0061,C-0061,Synthetic site 061,Nord,Residential,2025-01-01
M-0062,C-0062,Synthetic site 062,Sud,Residential,2025-01-01
M-0063,C-0063,Synthetic site 063,Est,Residential,2025-01-01
M-0064,C-0064,Synthetic site 064,Centre,Residential,2025-01-01
M-0065,C-0065,Synthetic site 065,Nord,Commercial,2025-01-01
M-0066,C-0066,Synthetic site 066,Sud,Residential,2025-01-01
M-0067,C-0067,Synthetic site 067,Est,Residential,2025-01-01
M-0068,C-0068,Synthetic site 068,Centre,Residential,2025-01-01
M-0069,C-0069,Synthetic site 069,Nord,Residential,2025-01-01
M-0070,C-0070,Synthetic site 070,Sud,Commercial,2025-01-01
M-0071,C-0071,Synthetic site 071,Est,Residential,2025-01-01
M-0072,C-0072,Synthetic site 072,Centre,Residential,2025-01-01
M-0073,C-0073,Synthetic site 073,Nord,Residential,2025-01-01
M-0074,C-0074,Synthetic site 074,Sud,Residential,2025-01-01
M-0075,C-0075,Synthetic site 075,Est,Commercial,2025-01-01
M-0076,C-0076,Synthetic site 076,Centre,Residential,2025-01-01
M-0077,C-0077,Synthetic site 077,Nord,Residential,2025-01-01
M-0078,C-0078,Synthetic site 078,Sud,Residential,2025-01-01
M-0079,C-0079,Synthetic site 079,Est,Residential,2025-01-01
M-0080,C-0080,Synthetic site 080,Centre,Commercial,2025-01-01
M-0081,C-0081,Synthetic site 081,Nord,Residential,2025-01-01
M-0082,C-0082,Synthetic site 082,Sud,Residential,2025-01-01
M-0083,C-0083,Synthetic site 083,Est,Residential,2025-01-01
M-0084,C-0084,Synthetic site 084,Centre,Residential,2025-01-01
M-0085,C-0085,Synthetic site 085,Nord,Commercial,2025-01-01
M-0086,C-0086,Synthetic site 086,Sud,Residential,2025-01-01
M-0087,C-0087,Synthetic site 087,Est,Residential,2025-01-01
M-0088,C-0088,Synthetic site 088,Centre,Residential,2025-01-01
M-0089,C-0089,Synthetic site 089,Nord,Residential,2025-01-01
M-0090,C-0090,Synthetic site 090,Sud,Commercial,2025-01-01
M-0091,C-0091,Synthetic site 091,Est,Residential,2025-01-01
M-0092,C-0092,Synthetic site 092,Centre,Residential,2025-01-01
M-0093,C-0093,Synthetic site 093,Nord,Residential,2025-01-01
M-0094,C-0094,Synthetic site 094,Sud,Residential,2025-01-01
M-0095,C-0095,Synthetic site 095,Est,Commercial,2025-01-01
M-0096,C-0096,Synthetic site 096,Centre,Residential,2025-01-01
M-0097,C-0097,Synthetic site 097,Nord,Residential,2025-01-01
M-0098,C-0098,Synthetic site 098,Sud,Residential,2025-01-01
M-0099,C-0099,Synthetic site 099,Est,Residential,2025-01-01
M-0100,C-0100,Synthetic site 100,Centre,Commercial,2025-01-01
M-0101,C-0101,Synthetic site 101,Nord,Residential,2025-01-01
M-0102,C-0102,Synthetic site 102,Sud,Residential,2025-01-01
M-0103,C-0103,Synthetic site 103,Est,Residential,2025-01-01
M-0104,C-0104,Synthetic site 104,Centre,Residential,2025-01-01
M-0105,C-0105,Synthetic site 105,Nord,Commercial,2025-01-01
