invoice_id,meter_id,tariff_id,period_start,period_end,billed_volume_liters,billed_amount_cents,expected_amount_cents,start_counter_liters,end_counter_liters,missing_days,reset_events,volume_status,measured_volume_liters,signed_difference_cents,review_amount_cents,signed_volume_difference_liters,volume_review_liters
INV-0001,M-0001,T-2026,2026-06-01,2026-08-29,39673,13744,13744,316739,356412,0,0,matched,39673,0,0,0,0
INV-0002,M-0002,T-2026,2026-06-01,2026-08-29,39962,13838,13838,367753,407715,0,0,matched,39962,0,0,0,0
INV-0003,M-0003,T-2026,2026-06-01,2026-08-29,40616,14050,14050,303198,343814,0,0,matched,40616,0,0,0,0
INV-0004,M-0004,T-2026,2026-06-01,2026-08-29,48184,16510,16510,340814,388998,0,0,matched,48184,0,0,0,0
INV-0005,M-0005,T-2026,2026-06-01,2026-08-29,106733,35538,35538,399312,506045,0,0,matched,106733,0,0,0,0
INV-0006,M-0006,T-2026,2026-06-01,2026-08-29,45318,15578,15578,746622,791940,0,0,matched,45318,0,0,0,0
INV-0007,M-0007,T-2026,2026-06-01,2026-08-29,30500,10763,10763,407963,1329,0,1,counter_reset,,0,0,,0
INV-0008,M-0008,T-2026,2026-06-01,2026-08-29,20563,7533,7533,247726,997,0,1,counter_reset,,0,0,,0
INV-0009,M-0009,T-2026,2026-06-01,2026-08-29,25390,9102,9102,744173,1254,0,1,counter_reset,,0,0,,0
INV-0010,M-0010,T-2026,2026-06-01,2026-08-29,66658,22514,22514,895928,3503,0,1,counter_reset,,0,0,,0
INV-0011,M-0011,T-2026,2026-06-01,2026-08-29,32609,11448,11448,441296,473905,1,0,incomplete,,0,0,,0
INV-0012,M-0012,T-2026,2026-06-01,2026-08-29,21825,7943,7943,263491,285316,1,0,incomplete,,0,0,,0
INV-0013,M-0013,T-2026,2026-06-01,2026-08-29,30630,10805,10805,590748,621378,1,0,incomplete,,0,0,,0
INV-0014,M-0014,T-2026,2026-06-01,2026-08-29,15805,5987,5987,528267,544072,1,0,incomplete,,0,0,,0
INV-0015,M-0015,T-2026,2026-06-01,2026-08-29,78520,30369,26369,878748,957268,0,0,matched,78520,4000,4000,0,0
INV-0016,M-0016,T-2026,2026-06-01,2026-08-29,18982,11119,7019,673041,692023,0,0,matched,18982,4100,4100,0,0
INV-0017,M-0017,T-2026,2026-06-01,2026-08-29,15573,10111,5911,887584,903157,0,0,matched,15573,4200,4200,0,0
INV-0018,M-0018,T-2026,2026-06-01,2026-08-29,18593,11193,6893,345622,364215,0,0,matched,18593,4300,4300,0,0
INV-0019,M-0019,T-2026,2026-06-01,2026-08-29,33552,16154,11754,845270,878822,0,0,matched,33552,4400,4400,0,0
