reading_id,meter_id,reading_date,counter_liters,previous_counter_liters,interval_days,run_id,interval_status,consumption_liters
M-0047:2026-06-01,M-0047,2026-06-01,212394,,,46d82b79-61cd-4884-bc2b-56551067447a,initial,
M-0047:2026-06-02,M-0047,2026-06-02,212548,212394,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,154
M-0047:2026-06-03,M-0047,2026-06-03,212684,212548,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,136
M-0047:2026-06-04,M-0047,2026-06-04,212837,212684,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,153
M-0047:2026-06-05,M-0047,2026-06-05,213022,212837,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,185
M-0047:2026-06-06,M-0047,2026-06-06,213164,213022,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,142
M-0047:2026-06-07,M-0047,2026-06-07,213311,213164,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,147
M-0047:2026-06-08,M-0047,2026-06-08,213458,213311,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,147
M-0047:2026-06-09,M-0047,2026-06-09,213650,213458,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,192
M-0047:2026-06-10,M-0047,2026-06-10,213802,213650,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,152
M-0047:2026-06-11,M-0047,2026-06-11,213944,213802,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,142
M-0047:2026-06-12,M-0047,2026-06-12,214101,213944,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,157
M-0047:2026-06-13,M-0047,2026-06-13,214258,214101,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,157
M-0047:2026-06-14,M-0047,2026-06-14,214436,214258,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,178
M-0047:2026-06-15,M-0047,2026-06-15,214589,214436,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,153
M-0047:2026-06-16,M-0047,2026-06-16,214745,214589,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,156
M-0047:2026-06-17,M-0047,2026-06-17,214904,214745,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,159
M-0047:2026-06-18,M-0047,2026-06-18,215071,214904,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,167
M-0047:2026-06-19,M-0047,2026-06-19,215264,215071,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,193
M-0047:2026-06-20,M-0047,2026-06-20,215438,215264,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,174
M-0047:2026-06-21,M-0047,2026-06-21,215620,215438,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,182
M-0047:2026-06-22,M-0047,2026-06-22,215796,215620,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,176
M-0047:2026-06-23,M-0047,2026-06-23,215978,215796,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,182
M-0047:2026-06-24,M-0047,2026-06-24,216144,215978,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,166
M-0047:2026-06-25,M-0047,2026-06-25,216329,216144,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,185
M-0047:2026-06-26,M-0047,2026-06-26,216471,216329,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,142
M-0047:2026-06-27,M-0047,2026-06-27,216652,216471,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,181
M-0047:2026-06-28,M-0047,2026-06-28,216829,216652,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,177
M-0047:2026-06-29,M-0047,2026-06-29,216989,216829,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,160
M-0047:2026-06-30,M-0047,2026-06-30,217119,216989,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,130
M-0047:2026-07-01,M-0047,2026-07-01,217276,217119,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,157
M-0047:2026-07-02,M-0047,2026-07-02,217414,217276,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,138
M-0047:2026-07-03,M-0047,2026-07-03,217601,217414,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,187
M-0047:2026-07-04,M-0047,2026-07-04,217771,217601,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,170
M-0047:2026-07-05,M-0047,2026-07-05,217935,217771,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,164
M-0047:2026-07-06,M-0047,2026-07-06,218085,217935,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,150
M-0047:2026-07-07,M-0047,2026-07-07,218246,218085,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,161
M-0047:2026-07-08,M-0047,2026-07-08,218392,218246,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,146
M-0047:2026-07-09,M-0047,2026-07-09,218577,218392,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,185
M-0047:2026-07-10,M-0047,2026-07-10,218710,218577,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,133
M-0047:2026-07-11,M-0047,2026-07-11,218846,218710,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,136
M-0047:2026-07-12,M-0047,2026-07-12,218986,218846,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,140
M-0047:2026-07-13,M-0047,2026-07-13,219130,218986,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,144
M-0047:2026-07-14,M-0047,2026-07-14,219276,219130,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,146
M-0047:2026-07-15,M-0047,2026-07-15,219460,219276,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,184
M-0047:2026-07-16,M-0047,2026-07-16,219596,219460,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,136
M-0047:2026-07-17,M-0047,2026-07-17,219774,219596,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,178
M-0047:2026-07-18,M-0047,2026-07-18,219920,219774,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,146
M-0047:2026-07-19,M-0047,2026-07-19,220073,219920,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,153
M-0047:2026-07-20,M-0047,2026-07-20,220239,220073,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,166
M-0047:2026-07-21,M-0047,2026-07-21,220421,220239,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,182
M-0047:2026-07-22,M-0047,2026-07-22,220573,220421,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,152
M-0047:2026-07-23,M-0047,2026-07-23,220729,220573,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,156
M-0047:2026-07-24,M-0047,2026-07-24,220881,220729,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,152
M-0047:2026-07-25,M-0047,2026-07-25,221055,220881,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,174
M-0047:2026-07-26,M-0047,2026-07-26,221224,221055,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,169
M-0047:2026-07-27,M-0047,2026-07-27,221391,221224,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,167
M-0047:2026-07-28,M-0047,2026-07-28,221563,221391,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,172
M-0047:2026-07-29,M-0047,2026-07-29,221727,221563,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,164
M-0047:2026-07-30,M-0047,2026-07-30,221920,221727,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,193
M-0047:2026-07-31,M-0047,2026-07-31,222068,221920,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,148
M-0047:2026-08-01,M-0047,2026-08-01,222219,222068,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,151
M-0047:2026-08-02,M-0047,2026-08-02,222382,222219,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,163
M-0047:2026-08-03,M-0047,2026-08-03,222562,222382,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,180
M-0047:2026-08-04,M-0047,2026-08-04,222721,222562,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,159
M-0047:2026-08-05,M-0047,2026-08-05,222856,222721,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,135
M-0047:2026-08-06,M-0047,2026-08-06,223025,222856,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,169
M-0047:2026-08-07,M-0047,2026-08-07,223185,223025,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,160
M-0047:2026-08-08,M-0047,2026-08-08,223377,223185,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,192
M-0047:2026-08-09,M-0047,2026-08-09,223563,223377,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,186
M-0047:2026-08-10,M-0047,2026-08-10,223734,223563,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,171
M-0047:2026-08-11,M-0047,2026-08-11,223924,223734,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,190
M-0047:2026-08-12,M-0047,2026-08-12,224081,223924,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,157
M-0047:2026-08-13,M-0047,2026-08-13,224250,224081,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,169
M-0047:2026-08-14,M-0047,2026-08-14,224406,224250,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,156
M-0047:2026-08-15,M-0047,2026-08-15,224594,224406,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,188
M-0047:2026-08-16,M-0047,2026-08-16,224729,224594,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,135
M-0047:2026-08-17,M-0047,2026-08-17,224881,224729,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,152
M-0047:2026-08-18,M-0047,2026-08-18,225031,224881,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,150
M-0047:2026-08-19,M-0047,2026-08-19,225203,225031,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,172
M-0047:2026-08-20,M-0047,2026-08-20,225379,225203,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,176
M-0047:2026-08-21,M-0047,2026-08-21,225548,225379,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,169
M-0047:2026-08-22,M-0047,2026-08-22,225703,225548,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,155
M-0047:2026-08-23,M-0047,2026-08-23,225890,225703,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,187
M-0047:2026-08-24,M-0047,2026-08-24,226070,225890,1,46d82b79-61cd-4884-bc2b-56551067447a,valid,180
