reading_date,received_readings,valid_intervals,consumption_liters
2026-06-01,120,0,
2026-06-02,120,120,43612
2026-06-03,120,120,43503
2026-06-04,120,120,43014
2026-06-05,120,120,43573
2026-06-06,120,120,43687
2026-06-07,120,120,43415
2026-06-08,120,120,42848
2026-06-09,120,120,43997
2026-06-10,120,120,43068
2026-06-11,120,120,43715
2026-06-12,120,120,42447
2026-06-13,120,120,42953
2026-06-14,120,120,43352
2026-06-15,120,120,44253
2026-06-16,120,120,42229
2026-06-17,120,120,44010
2026-06-18,120,120,42261
2026-06-19,120,120,43222
2026-06-20,120,120,43698
2026-06-21,120,120,43353
2026-06-22,120,120,43225
2026-06-23,120,120,42814
2026-06-24,120,120,43723
2026-06-25,120,120,43612
2026-06-26,120,120,43815
2026-06-27,120,120,42634
2026-06-28,120,120,42822
2026-06-29,120,120,43141
2026-06-30,120,120,43536
2026-07-01,120,120,42876
2026-07-02,120,120,44260
2026-07-03,120,120,43968
2026-07-04,120,120,42698
2026-07-05,120,120,42342
2026-07-06,120,120,43072
2026-07-07,120,120,42776
2026-07-08,120,120,43728
2026-07-09,120,120,43744
2026-07-10,120,120,43461
2026-07-11,120,120,43016
2026-07-12,120,120,43251
2026-07-13,120,120,43583
2026-07-14,120,120,42938
2026-07-15,120,120,43886
2026-07-16,120,120,43251
2026-07-17,120,120,43046
2026-07-18,120,120,43328
2026-07-19,120,120,42771
2026-07-20,120,120,42574
2026-07-21,120,120,43252
2026-07-22,120,120,43328
2026-07-23,120,120,44042
2026-07-24,120,120,43748
2026-07-25,120,120,43593
2026-07-26,120,120,44114
2026-07-27,120,120,42397
2026-07-28,120,120,43876
2026-07-29,120,120,43393
2026-07-30,120,120,43739
2026-07-31,120,120,42767
2026-08-01,120,120,43788
2026-08-02,120,120,43677
2026-08-03,120,120,42976
2026-08-04,120,120,42763
2026-08-05,120,120,42422
2026-08-06,120,120,43867
2026-08-07,120,120,44074
2026-08-08,120,120,43119
2026-08-09,120,120,42734
2026-08-10,120,120,44453
2026-08-11,120,120,44156
2026-08-12,120,120,42156
2026-08-13,120,120,43435
2026-08-14,120,120,43164
2026-08-15,120,120,44290
2026-08-16,120,120,43913
2026-08-17,120,120,42738
2026-08-18,120,120,43304
2026-08-19,120,120,43708
2026-08-20,120,120,42731
2026-08-21,120,120,57940
2026-08-22,120,120,55134
2026-08-23,120,120,53685
2026-08-24,120,120,54437
2026-08-25,120,116,53568
2026-08-26,116,116,54074
2026-08-27,120,116,52757
2026-08-28,120,120,54690
2026-08-29,120,120,53272
